id,date,timestamp,year,month,day,aqi,rank,pm25,pm10,so2,co,no2,o3
486,2015-04-01,1427817600,2015,4,1,80,良,59,78,5,0.7,49,79
487,2015-04-02,1427904000,2015,4,2,50,优,35,19,4,0.7,26,88
488,2015-04-03,1427990400,2015,4,3,62,良,28,40,4,0.6,27,114
489,2015-04-04,1428076800,2015,4,4,84,良,62,75,5,0.6,36,134
490,2015-04-05,1428163200,2015,4,5,74,良,53,99,3,0.5,30,104
491,2015-04-06,1428249600,2015,4,6,38,优,20,32,2,0.3,14,76
492,2015-04-07,1428336000,2015,4,7,45,优,23,39,4,0.3,23,89
493,2015-04-08,1428422400,2015,4,8,126,轻度污染,96,123,12,0.8,49,99
494,2015-04-09,1428508800,2015,4,9,212,重度污染,162,190,17,1.2,59,120
495,2015-04-10,1428595200,2015,4,10,200,中度污染,150,186,9,1.1,62,126
496,2015-04-11,1428681600,2015,4,11,188,中度污染,141,77,16,1.7,46,130
497,2015-04-12,1428768000,2015,4,12,44,优,12,26,2,0.3,12,87
498,2015-04-13,1428854400,2015,4,13,67,良,26,39,3,0.4,22,120
499,2015-04-14,1428940800,2015,4,14,74,良,54,84,5,0.7,54,114
500,2015-04-15,1429027200,2015,4,15,168,中度污染,109,286,14,0.9,70,101
501,2015-04-16,1429113600,2015,4,16,91,良,26,132,3,0.2,13,95
502,2015-04-17,1429200000,2015,4,17,112,轻度污染,67,173,16,0.7,55,100
503,2015-04-18,1429286400,2015,4,18,182,中度污染,138,273,27,1.5,89,99
504,2015-04-19,1429372800,2015,4,19,91,良,60,133,6,0.6,30,100
505,2015-04-20,1429459200,2015,4,20,90,良,67,112,7,0.8,43,127
506,2015-04-21,1429545600,2015,4,21,90,良,63,129,8,0.6,44,111
507,2015-04-22,1429632000,2015,4,22,84,良,43,100,8,0.6,49,141
508,2015-04-23,1429718400,2015,4,23,79,良,54,108,11,0.6,49,115
509,2015-04-24,1429804800,2015,4,24,103,轻度污染,52,155,7,0.6,47,139
510,2015-04-25,1429891200,2015,4,25,115,轻度污染,72,158,12,0.8,64,177
511,2015-04-26,1429977600,2015,4,26,161,中度污染,98,182,20,1,53,226
512,2015-04-27,1430064000,2015,4,27,114,轻度污染,81,134,12,0.9,46,175
513,2015-04-28,1430150400,2015,4,28,78,良,43,68,5,0.7,39,134
514,2015-04-29,1430236800,2015,4,29,150,轻度污染,115,136,11,1.3,48,196
515,2015-04-30,1430323200,2015,4,30,149,轻度污染,114,146,11,1.1,43,209
516,2015-05-01,1430409600,2015,5,1,165,中度污染,125,141,13,1.1,45,171
517,2015-05-02,1430496000,2015,5,2,88,良,45,68,3,0.6,30,145
518,2015-05-03,1430582400,2015,5,3,72,良,40,94,2,0.4,24,113
519,2015-05-04,1430668800,2015,5,4,66,良,23,65,4,0.3,20,119
520,2015-05-05,1430755200,2015,5,5,72,良,43,94,7,0.5,37,114
521,2015-05-06,1430841600,2015,5,6,60,良,19,70,3,0.3,24,100
522,2015-05-07,1430928000,2015,5,7,89,良,42,129,6,0.6,37,119
523,2015-05-08,1431014400,2015,5,8,83,良,52,115,11,1,37,119
524,2015-05-09,1431100800,2015,5,9,55,良,39,52,7,1,33,100
525,2015-05-10,1431187200,2015,5,10,49,优,34,35,4,1.3,46,46
526,2015-05-11,1431273600,2015,5,11,42,优,24,20,2,0.8,30,84
527,2015-05-12,1431360000,2015,5,12,54,良,19,44,2,0.5,41,105
528,2015-05-13,1431446400,2015,5,13,98,良,57,133,4,0.8,66,158
529,2015-05-14,1431532800,2015,5,14,57,良,20,62,5,0.3,29,108
530,2015-05-15,1431619200,2015,5,15,67,良,23,47,3,0.4,26,120
531,2015-05-16,1431705600,2015,5,16,116,轻度污染,46,96,8,0.7,43,178
532,2015-05-17,1431792000,2015,5,17,166,中度污染,126,182,15,1.2,43,165
533,2015-05-18,1431878400,2015,5,18,75,良,55,93,3,0.5,33,105
534,2015-05-19,1431964800,2015,5,19,49,优,11,49,2,0.3,16,93
535,2015-05-20,1432051200,2015,5,20,63,良,16,37,2,0.3,22,116
536,2015-05-21,1432137600,2015,5,21,91,良,33,84,6,0.5,43,149
537,2015-05-22,1432224000,2015,5,22,137,轻度污染,52,89,12,0.8,41,201
538,2015-05-23,1432310400,2015,5,23,179,中度污染,95,139,16,1,53,244
539,2015-05-24,1432396800,2015,5,24,178,中度污染,115,164,16,1.2,56,243
540,2015-05-25,1432483200,2015,5,25,203,重度污染,101,166,24,1.2,47,281
541,2015-05-26,1432569600,2015,5,26,191,中度污染,87,149,19,0.9,38,256
542,2015-05-27,1432656000,2015,5,27,160,中度污染,92,141,11,0.9,33,225
543,2015-05-28,1432742400,2015,5,28,151,中度污染,116,151,23,1.2,36,197
544,2015-05-29,1432828800,2015,5,29,104,轻度污染,61,94,5,0.8,42,164
545,2015-05-30,1432915200,2015,5,30,136,轻度污染,54,90,6,0.8,39,200
546,2015-05-31,1433001600,2015,5,31,153,中度污染,55,102,15,0.9,44,218
547,2015-06-01,1433088000,2015,6,1,159,中度污染,88,166,14,1,46,224
548,2015-06-02,1433174400,2015,6,2,103,轻度污染,30,63,4,0.5,26,163
549,2015-06-03,1433260800,2015,6,3,75,良,32,101,6,0.5,36,128
550,2015-06-04,1433347200,2015,6,4,70,良,51,90,7,3.4,55,96
551,2015-06-05,1433433600,2015,6,5,68,良,49,52,5,6.8,45,65
552,2015-06-06,1433520000,2015,6,6,79,良,25,62,3,5,32,135
553,2015-06-07,1433606400,2015,6,7,43,优,14,32,4,2.6,30,86
554,2015-06-08,1433692800,2015,6,8,69,良,18,35,4,0.5,35,123
555,2015-06-09,1433779200,2015,6,9,134,轻度污染,49,87,15,1.1,49,197
556,2015-06-10,1433865600,2015,6,10,100,良,75,74,4,1.1,34,154
557,2015-06-11,1433952000,2015,6,11,48,优,20,25,3,0.6,21,96
558,2015-06-12,1434038400,2015,6,12,44,优,8,22,3,0.4,22,87
559,2015-06-13,1434124800,2015,6,13,65,良,11,27,3,0.4,18,118
560,2015-06-14,1434211200,2015,6,14,98,良,19,37,3,0.5,29,158
561,2015-06-15,1434297600,2015,6,15,166,中度污染,85,121,15,1.2,40,231
562,2015-06-16,1434384000,2015,6,16,177,中度污染,104,144,12,1.2,50,242
563,2015-06-17,1434470400,2015,6,17,126,轻度污染,42,67,3,0.8,36,189
564,2015-06-18,1434556800,2015,6,18,53,良,19,32,2,0.5,28,103
565,2015-06-19,1434643200,2015,6,19,35,优,14,33,2,0.5,24,70
566,2015-06-20,1434729600,2015,6,20,103,轻度污染,23,39,2,0.6,37,163
567,2015-06-21,1434816000,2015,6,21,137,轻度污染,41,73,5,0.6,39,201
568,2015-06-22,1434902400,2015,6,22,163,中度污染,90,117,16,1.1,38,228
569,2015-06-23,1434988800,2015,6,23,231,重度污染,181,178,15,1.7,39,238
570,2015-06-24,1435075200,2015,6,24,159,中度污染,121,123,9,1.1,43,190
571,2015-06-25,1435161600,2015,6,25,164,中度污染,125,111,6,1,51,128
572,2015-06-26,1435248000,2015,6,26,139,轻度污染,106,23,2,0.9,24,200
573,2015-06-27,1435334400,2015,6,27,120,轻度污染,89,51,4,0.8,32,182
574,2015-06-28,1435420800,2015,6,28,197,中度污染,148,57,8,1.2,34,219
575,2015-06-29,1435507200,2015,6,29,154,中度污染,118,39,5,1.1,42,178
576,2015-06-30,1435593600,2015,6,30,52,良,15,20,2,0.4,27,102
577,2015-07-01,1435680000,2015,7,1,41,优,18,38,3,0.4,34,82
578,2015-07-02,1435766400,2015,7,2,46,优,8,20,4,0.3,28,92
579,2015-07-03,1435852800,2015,7,3,116,轻度污染,24,60,11,0.9,34,178
580,2015-07-04,1435939200,2015,7,4,92,良,33,59,6,0.7,45,150
581,2015-07-05,1436025600,2015,7,5,160,中度污染,62,71,9,1,36,225
582,2015-07-06,1436112000,2015,7,6,156,中度污染,69,76,10,1.1,33,221
583,2015-07-07,1436198400,2015,7,7,160,中度污染,67,86,7,0.9,32,225
584,2015-07-08,1436284800,2015,7,8,175,中度污染,125,132,8,1.1,35,240
585,2015-07-09,1436371200,2015,7,9,172,中度污染,72,92,11,0.8,37,237
586,2015-07-10,1436457600,2015,7,10,145,轻度污染,50,82,9,0.7,32,210
587,2015-07-11,1436544000,2015,7,11,181,中度污染,103,126,10,1.1,35,246
588,2015-07-12,1436630400,2015,7,12,200,中度污染,108,158,5,0.9,46,267
589,2015-07-13,1436716800,2015,7,13,176,中度污染,49,84,3,0.6,43,241
590,2015-07-14,1436803200,2015,7,14,147,轻度污染,35,65,4,0.6,30,212
591,2015-07-15,1436889600,2015,7,15,85,良,34,62,3,0.6,47,142
592,2015-07-16,1436976000,2015,7,16,54,良,37,47,2,0.7,29,105
593,2015-07-17,1437062400,2015,7,17,50,优,35,43,2,0.8,32,91
594,2015-07-18,1437148800,2015,7,18,78,良,47,30,2,0.8,26,134
595,2015-07-19,1437235200,2015,7,19,89,良,66,33,2,0.9,32,124
596,2015-07-20,1437321600,2015,7,20,118,轻度污染,89,144,2,0.9,33,142
597,2015-07-21,1437408000,2015,7,21,176,中度污染,133,0,2,1.1,33,151
598,2015-07-22,1437494400,2015,7,22,110,轻度污染,62,55,2,0.7,35,171
599,2015-07-23,1437580800,2015,7,23,70,良,41,54,2,0.8,48,123
600,2015-07-24,1437667200,2015,7,24,138,轻度污染,50,77,2,0.9,46,201
601,2015-07-25,1437753600,2015,7,25,158,中度污染,90,108,3,1,38,223
602,2015-07-26,1437840000,2015,7,26,151,中度污染,104,123,4,1,33,216
603,2015-07-27,1437926400,2015,7,27,130,轻度污染,75,133,3,0.9,33,192
604,2015-07-28,1438012800,2015,7,28,109,轻度污染,52,76,2,0.8,30,169
605,2015-07-29,1438099200,2015,7,29,138,轻度污染,86,55,2,0.9,35,201
606,2015-07-30,1438185600,2015,7,30,75,良,44,52,2,0.9,28,129
607,2015-07-31,1438272000,2015,7,31,85,良,26,41,2,0.7,26,142
608,2015-08-01,1438358400,2015,8,1,90,良,67,72,3,1.3,47,100
609,2015-08-02,1438444800,2015,8,2,102,轻度污染,74,88,2,1.2,27,162
610,2015-08-03,1438531200,2015,8,3,82,良,60,33,4,1.1,33,101
611,2015-08-04,1438617600,2015,8,4,110,轻度污染,21,54,4,0.5,32,171
612,2015-08-05,1438704000,2015,8,5,127,轻度污染,64,102,3,1,40,189
613,2015-08-06,1438790400,2015,8,6,119,轻度污染,58,95,2,0.8,31,180
614,2015-08-07,1438876800,2015,8,7,119,轻度污染,90,0,4,1.1,33,167
615,2015-08-08,1438963200,2015,8,8,110,轻度污染,40,72,3,0.7,34,171
616,2015-08-09,1439049600,2015,8,9,152,中度污染,53,85,3,0.8,37,217
617,2015-08-10,1439136000,2015,8,10,112,轻度污染,42,80,2,0.7,38,173
618,2015-08-11,1439222400,2015,8,11,175,中度污染,91,128,6,1.4,36,240
619,2015-08-12,1439308800,2015,8,12,161,中度污染,81,129,4,1,36,226
620,2015-08-13,1439395200,2015,8,13,202,重度污染,120,160,7,1.3,41,275
621,2015-08-14,1439481600,2015,8,14,119,轻度污染,58,95,4,0.8,35,180
622,2015-08-15,1439568000,2015,8,15,80,良,22,54,3,0.6,36,135
623,2015-08-16,1439654400,2015,8,16,201,重度污染,38,89,6,0.7,40,270
624,2015-08-17,1439740800,2015,8,17,145,轻度污染,80,161,8,1,40,209
625,2015-08-18,1439827200,2015,8,18,90,良,48,82,3,0.8,34,147
626,2015-08-19,1439913600,2015,8,19,97,良,51,65,2,0.8,38,156
627,2015-08-20,1440000000,2015,8,20,100,良,33,51,2,0.6,26,160
628,2015-08-21,1440086400,2015,8,21,94,良,14,37,2,0.4,25,152
629,2015-08-22,1440172800,2015,8,22,56,良,17,38,4,0.6,20,107
630,2015-08-23,1440259200,2015,8,23,53,良,21,33,4,0.8,23,103
631,2015-08-24,1440345600,2015,8,24,55,良,13,28,2,0.5,22,106
632,2015-08-25,1440432000,2015,8,25,50,优,14,27,2,0.5,23,99
633,2015-08-26,1440518400,2015,8,26,61,良,12,27,2,0.4,23,113
634,2015-08-27,1440604800,2015,8,27,60,良,12,26,2,0.4,25,111
635,2015-08-28,1440691200,2015,8,28,70,良,16,38,3,0.5,24,124
636,2015-08-29,1440777600,2015,8,29,118,轻度污染,28,48,2,0.6,21,179
637,2015-08-30,1440864000,2015,8,30,74,良,28,32,2,0.9,25,128
638,2015-08-31,1440950400,2015,8,31,37,优,25,29,2,0.7,25,73
639,2015-09-01,1441036800,2015,9,1,34,优,11,20,2,0.5,20,67
640,2015-09-02,1441123200,2015,9,2,44,优,10,19,2,0.4,20,87
641,2015-09-03,1441209600,2015,9,3,74,良,15,30,2,0.5,19,128
642,2015-09-04,1441296000,2015,9,4,64,良,46,0,3,1.5,26,101
643,2015-09-05,1441382400,2015,9,5,44,优,18,20,2,0.7,23,88
644,2015-09-06,1441468800,2015,9,6,63,良,17,34,2,0.5,30,115
645,2015-09-07,1441555200,2015,9,7,84,良,25,44,3,0.7,38,140
646,2015-09-08,1441641600,2015,9,8,104,轻度污染,52,82,6,0.9,53,164
647,2015-09-09,1441728000,2015,9,9,50,优,32,50,3,0.7,40,94
648,2015-09-10,1441814400,2015,9,10,37,优,8,14,2,0.4,29,41
649,2015-09-11,1441900800,2015,9,11,35,优,9,16,2,0.4,26,69
650,2015-09-12,1441987200,2015,9,12,34,优,9,24,2,0.4,27,68
651,2015-09-13,1442073600,2015,9,13,57,良,20,51,3,0.6,45,105
652,2015-09-14,1442160000,2015,9,14,89,良,66,105,10,0.9,58,145
653,2015-09-15,1442246400,2015,9,15,140,轻度污染,105,134,13,1.2,62,204
654,2015-09-16,1442332800,2015,9,16,169,中度污染,128,152,8,1.2,62,180
655,2015-09-17,1442419200,2015,9,17,201,重度污染,151,166,10,1.3,69,181
656,2015-09-18,1442505600,2015,9,18,102,轻度污染,76,77,3,0.9,49,110
657,2015-09-19,1442592000,2015,9,19,69,良,23,51,3,0.6,55,95
658,2015-09-20,1442678400,2015,9,20,114,轻度污染,86,112,9,1,51,146
659,2015-09-21,1442764800,2015,9,21,133,轻度污染,101,134,17,1.3,67,176
660,2015-09-22,1442851200,2015,9,22,179,中度污染,135,0,10,1.5,60,108
661,2015-09-23,1442937600,2015,9,23,57,良,32,60,2,0.7,45,98
662,2015-09-24,1443024000,2015,9,24,124,轻度污染,94,102,4,1.2,53,121
663,2015-09-25,1443110400,2015,9,25,49,优,22,44,3,0.6,39,82
664,2015-09-26,1443196800,2015,9,26,74,良,34,72,7,0.7,48,128
665,2015-09-27,1443283200,2015,9,27,73,良,48,85,3,0.7,58,113
666,2015-09-28,1443369600,2015,9,28,68,良,49,62,4,1.3,46,59
667,2015-09-29,1443456000,2015,9,29,62,良,44,0,3,1.1,45,20
668,2015-09-30,1443542400,2015,9,30,48,优,30,0,3,0.7,38,48
669,2015-10-01,1443628800,2015,10,1,33,优,14,29,2,0.3,25,65
670,2015-10-02,1443715200,2015,10,2,59,良,30,68,3,0.6,47,88
671,2015-10-03,1443801600,2015,10,3,62,良,28,69,4,0.7,49,85
672,2015-10-04,1443888000,2015,10,4,149,轻度污染,114,155,10,1.3,77,125
673,2015-10-05,1443974400,2015,10,5,272,重度污染,222,244,9,1.7,80,180
674,2015-10-06,1444060800,2015,10,6,343,严重污染,293,327,7,2,84,200
675,2015-10-07,1444147200,2015,10,7,310,严重污染,260,83,8,1.8,76,128
676,2015-10-08,1444233600,2015,10,8,35,优,11,28,2,0.3,23,70
677,2015-10-09,1444320000,2015,10,9,39,优,16,39,3,0.4,29,64
678,2015-10-10,1444406400,2015,10,10,27,优,8,23,2,0.3,17,54
679,2015-10-11,1444492800,2015,10,11,37,优,10,25,2,0.3,21,73
680,2015-10-12,1444579200,2015,10,12,60,良,18,47,3,0.5,48,70
681,2015-10-13,1444665600,2015,10,13,84,良,35,73,6,0.8,67,68
682,2015-10-14,1444752000,2015,10,14,135,轻度污染,103,147,16,2,96,66
683,2015-10-15,1444838400,2015,10,15,143,轻度污染,109,147,9,1.4,91,123
684,2015-10-16,1444924800,2015,10,16,253,重度污染,203,236,13,2.1,111,159
685,2015-10-17,1445011200,2015,10,17,344,严重污染,294,0,13,2.5,119,97
686,2015-10-18,1445097600,2015,10,18,64,良,46,68,7,0.8,41,50
687,2015-10-19,1445184000,2015,10,19,78,良,57,103,6,0.9,61,46
688,2015-10-20,1445270400,2015,10,20,99,良,74,113,9,1.4,65,15
689,2015-10-21,1445356800,2015,10,21,70,良,51,77,2,0.9,41,28
690,2015-10-22,1445443200,2015,10,22,54,良,29,49,2,0.7,43,25
691,2015-10-23,1445529600,2015,10,23,74,良,54,77,3,0.9,53,45
692,2015-10-24,1445616000,2015,10,24,75,良,55,76,6,1,53,51
693,2015-10-25,1445702400,2015,10,25,74,良,37,84,10,0.9,59,23
694,2015-10-26,1445788800,2015,10,26,63,良,28,75,2,0.5,29,51
695,2015-10-27,1445875200,2015,10,27,48,优,15,48,3,0.5,37,52
696,2015-10-28,1445961600,2015,10,28,30,优,8,20,3,0.3,24,57
697,2015-10-29,1446048000,2015,10,29,30,优,7,22,3,0.3,20,59
698,2015-10-30,1446134400,2015,10,30,58,良,25,52,4,0.7,46,44
699,2015-10-31,1446220800,2015,10,31,73,良,43,70,5,0.8,58,42
700,2015-11-01,1446307200,2015,11,1,98,良,72,106,7,1,78,39
701,2015-11-02,1446393600,2015,11,2,102,轻度污染,76,116,8,1.4,78,44
702,2015-11-03,1446480000,2015,11,3,199,中度污染,149,181,16,1.9,90,63
703,2015-11-04,1446566400,2015,11,4,260,重度污染,210,0,15,2,108,29
704,2015-11-05,1446652800,2015,11,5,144,轻度污染,110,0,6,1,53,26
705,2015-11-06,1446739200,2015,11,6,37,优,20,9,2,0.5,29,38
706,2015-11-07,1446825600,2015,11,7,37,优,19,0,2,0.5,29,41
707,2015-11-08,1446912000,2015,11,8,82,良,60,89,3,0.9,46,37
708,2015-11-09,1446998400,2015,11,9,163,中度污染,124,0,4,1.6,56,7
709,2015-11-10,1447084800,2015,11,10,175,中度污染,132,0,4,1.6,55,5
710,2015-11-11,1447171200,2015,11,11,137,轻度污染,104,0,4,1.9,55,11
711,2015-11-12,1447257600,2015,11,12,205,重度污染,155,136,6,2.5,60,3
712,2015-11-13,1447344000,2015,11,13,258,重度污染,208,188,15,3.1,70,4
713,2015-11-14,1447430400,2015,11,14,324,严重污染,274,298,17,3.6,83,11
714,2015-11-15,1447516800,2015,11,15,246,重度污染,196,0,13,3.2,70,31
715,2015-11-16,1447603200,2015,11,16,79,良,58,85,10,1.5,52,18
716,2015-11-17,1447689600,2015,11,17,82,良,60,86,7,1.5,45,21
717,2015-11-18,1447776000,2015,11,18,92,良,68,90,7,1.1,45,9
718,2015-11-19,1447862400,2015,11,19,102,轻度污染,76,0,4,1.7,45,2
719,2015-11-20,1447948800,2015,11,20,88,良,65,0,9,2.3,43,3
720,2015-11-21,1448035200,2015,11,21,60,良,43,0,7,2.1,41,4
721,2015-11-22,1448121600,2015,11,22,69,良,50,0,7,1,39,33
722,2015-11-23,1448208000,2015,11,23,39,优,27,37,10,0.7,28,51
723,2015-11-24,1448294400,2015,11,24,65,良,45,0,8,1.1,52,41
724,2015-11-25,1448380800,2015,11,25,69,良,50,22,9,1.1,37,52
725,2015-11-26,1448467200,2015,11,26,55,良,38,60,11,0.9,37,56
726,2015-11-27,1448553600,2015,11,27,264,重度污染,214,245,36,2.9,93,15
727,2015-11-28,1448640000,2015,11,28,308,严重污染,258,254,44,4,102,13
728,2015-11-29,1448726400,2015,11,29,302,严重污染,252,0,38,4.9,108,21
729,2015-11-30,1448812800,2015,11,30,450,严重污染,343,550,24,6,124,11
730,2015-12-01,1448899200,2015,12,1,476,严重污染,464,454,35,7.9,133,9
731,2015-12-02,1448985600,2015,12,2,24,优,7,22,3,0.3,16,47
732,2015-12-03,1449072000,2015,12,3,33,优,10,33,5,0.4,16,47
733,2015-12-04,1449158400,2015,12,4,54,良,31,58,12,0.9,43,46
734,2015-12-05,1449244800,2015,12,5,77,良,49,85,17,1.4,61,40
735,2015-12-06,1449331200,2015,12,6,175,中度污染,132,162,32,2.8,88,11
736,2015-12-07,1449417600,2015,12,7,230,重度污染,180,199,36,3.5,93,9
737,2015-12-08,1449504000,2015,12,8,295,重度污染,245,246,20,4.3,92,7
738,2015-12-09,1449590400,2015,12,9,294,重度污染,244,10,32,3.6,94,9
739,2015-12-10,1449676800,2015,12,10,127,轻度污染,96,47,15,1.8,52,55
740,2015-12-11,1449763200,2015,12,11,75,良,48,86,15,1.4,60,35
741,2015-12-12,1449849600,2015,12,12,172,中度污染,130,174,23,2.8,86,12
742,2015-12-13,1449936000,2015,12,13,229,重度污染,179,219,39,3.9,98,12
743,2015-12-14,1450022400,2015,12,14,207,重度污染,157,27,16,2.7,75,44
744,2015-12-15,1450108800,2015,12,15,28,优,7,13,3,0.4,16,56
745,2015-12-16,1450195200,2015,12,16,23,优,8,14,4,0.5,18,45
746,2015-12-17,1450281600,2015,12,17,84,良,62,91,18,1.6,62,26
747,2015-12-18,1450368000,2015,12,18,80,良,58,85,18,1.8,64,35
748,2015-12-19,1450454400,2015,12,19,168,中度污染,127,155,29,3,87,12
749,2015-12-20,1450540800,2015,12,20,249,重度污染,199,194,27,3.6,101,10
750,2015-12-21,1450627200,2015,12,21,280,重度污染,230,284,23,4.1,104,12
751,2015-12-22,1450713600,2015,12,22,347,严重污染,297,427,29,5.3,103,10
752,2015-12-23,1450800000,2015,12,23,305,严重污染,255,298,21,4.7,104,32
753,2015-12-24,1450886400,2015,12,24,209,重度污染,159,275,18,2.7,80,40
754,2015-12-25,1450972800,2015,12,25,485,严重污染,477,510,12,7.3,141,13
755,2015-12-26,1451059200,2015,12,26,315,严重污染,265,381,9,4.9,102,10
756,2015-12-27,1451145600,2015,12,27,75,良,49,100,13,1.2,53,24
757,2015-12-28,1451232000,2015,12,28,149,轻度污染,114,175,23,2.3,79,16
758,2015-12-29,1451318400,2015,12,29,329,严重污染,279,338,34,4.4,119,9
759,2015-12-30,1451404800,2015,12,30,104,轻度污染,78,39,11,1.5,54,56
760,2015-12-31,1451491200,2015,12,31,90,良,66,128,16,1.8,72,25
761,2016-01-01,1451577600,2016,1,1,226,重度污染,176,199,33,3.4,106,12
762,2016-01-02,1451664000,2016,1,2,316,严重污染,266,299,35,4.6,124,16
763,2016-01-03,1451750400,2016,1,3,297,重度污染,247,296,20,3.5,83,22
764,2016-01-04,1451836800,2016,1,4,53,良,37,23,6,0.9,33,59
765,2016-01-05,1451923200,2016,1,5,63,良,34,76,11,0.9,38,50
766,2016-01-06,1452009600,2016,1,6,44,优,25,40,10,0.9,35,54
767,2016-01-07,1452096000,2016,1,7,35,优,13,22,6,0.6,28,54
768,2016-01-08,1452182400,2016,1,8,54,良,35,55,13,0.9,43,51
769,2016-01-09,1452268800,2016,1,9,102,轻度污染,76,102,23,1.9,74,26
770,2016-01-10,1452355200,2016,1,10,69,良,46,61,20,1.5,55,35
771,2016-01-11,1452441600,2016,1,11,32,优,11,22,6,0.6,25,59
772,2016-01-12,1452528000,2016,1,12,38,优,14,27,8,0.7,30,55
773,2016-01-13,1452614400,2016,1,13,62,良,26,48,14,1,49,47
774,2016-01-14,1452700800,2016,1,14,98,良,73,98,27,1.9,73,40
775,2016-01-15,1452787200,2016,1,15,132,轻度污染,100,127,33,2.6,84,25
776,2016-01-16,1452873600,2016,1,16,162,中度污染,123,137,44,2.5,71,15
777,2016-01-17,1452960000,2016,1,17,53,良,37,25,9,0.8,29,68
778,2016-01-18,1453046400,2016,1,18,45,优,10,45,4,0.5,18,62
779,2016-01-19,1453132800,2016,1,19,84,良,62,90,23,1.7,62,39
780,2016-01-20,1453219200,2016,1,20,153,中度污染,117,141,56,3.4,78,11
781,2016-01-21,1453305600,2016,1,21,173,中度污染,131,130,28,2.7,68,12
782,2016-01-22,1453392000,2016,1,22,33,优,13,33,4,0.6,16,65
783,2016-01-23,1453478400,2016,1,23,47,优,9,47,4,0.6,12,63
784,2016-01-24,1453564800,2016,1,24,47,优,13,47,6,0.6,24,60
785,2016-01-25,1453651200,2016,1,25,54,良,28,48,17,0.8,43,50
786,2016-01-26,1453737600,2016,1,26,56,良,35,62,18,0.8,37,58
787,2016-01-27,1453824000,2016,1,27,129,轻度污染,98,112,38,2.2,79,27
788,2016-01-28,1453910400,2016,1,28,159,中度污染,121,139,44,2.3,80,37
789,2016-01-29,1453996800,2016,1,29,84,良,62,80,36,1.8,55,28
790,2016-01-30,1454083200,2016,1,30,69,良,50,65,21,1.3,48,40
791,2016-01-31,1454169600,2016,1,31,38,优,18,26,10,0.6,30,66
792,2016-02-01,1454256000,2016,2,1,40,优,13,24,9,0.6,32,68
793,2016-02-02,1454342400,2016,2,2,62,良,29,40,16,0.9,49,55
794,2016-02-03,1454428800,2016,2,3,69,良,35,48,19,1.2,55,43
795,2016-02-04,1454515200,2016,2,4,36,优,13,24,8,0.5,23,71
796,2016-02-05,1454601600,2016,2,5,38,优,10,32,6,0.4,16,76
797,2016-02-06,1454688000,2016,2,6,45,优,31,45,14,0.8,36,70
798,2016-02-07,1454774400,2016,2,7,69,良,50,85,23,0.9,38,74
799,2016-02-08,1454860800,2016,2,8,238,重度污染,188,263,53,1,37,74
800,2016-02-09,1454947200,2016,2,9,60,良,43,53,20,1.1,41,82
801,2016-02-10,1455033600,2016,2,10,128,轻度污染,97,115,50,2.5,65,50
802,2016-02-11,1455120000,2016,2,11,202,重度污染,152,168,42,3,68,26
803,2016-02-12,1455206400,2016,2,12,192,中度污染,144,100,18,2.2,54,41
804,2016-02-13,1455292800,2016,2,13,34,优,9,14,5,0.3,12,68
805,2016-02-14,1455379200,2016,2,14,36,优,7,16,3,0.4,11,72
806,2016-02-15,1455465600,2016,2,15,46,优,7,46,4,0.3,14,71
807,2016-02-16,1455552000,2016,2,16,38,优,8,36,5,0.3,18,76
808,2016-02-17,1455638400,2016,2,17,64,良,46,44,16,1.1,48,73
809,2016-02-18,1455724800,2016,2,18,42,优,14,32,5,0.4,22,83
810,2016-02-19,1455811200,2016,2,19,40,优,15,33,5,0.5,26,79
811,2016-02-20,1455897600,2016,2,20,40,优,16,24,6,0.5,22,79
812,2016-02-21,1455984000,2016,2,21,108,轻度污染,81,107,26,1.5,57,55
813,2016-02-22,1456070400,2016,2,22,92,良,68,74,16,1.1,40,80
814,2016-02-23,1456156800,2016,2,23,41,优,11,18,5,0.4,17,81
815,2016-02-24,1456243200,2016,2,24,49,优,26,49,9,0.7,35,70
816,2016-02-25,1456329600,2016,2,25,45,优,25,44,10,0.7,36,61
817,2016-02-26,1456416000,2016,2,26,55,良,36,60,14,0.8,40,69
818,2016-02-27,1456502400,2016,2,27,45,优,22,35,9,0.6,36,71
819,2016-02-28,1456588800,2016,2,28,48,优,31,48,7,0.8,33,79
820,2016-02-29,1456675200,2016,2,29,53,良,35,47,12,0.7,42,70
821,2016-03-01,1456761600,2016,3,1,158,中度污染,120,136,30,1.9,85,50
822,2016-03-02,1456848000,2016,3,2,212,重度污染,162,190,32,2.5,110,62
823,2016-03-03,1456934400,2016,3,3,333,严重污染,283,283,46,3.5,119,50
824,2016-03-04,1457020800,2016,3,4,365,严重污染,315,414,47,4.3,113,22
825,2016-03-05,1457107200,2016,3,5,170,中度污染,58,290,3,0.4,23,78
826,2016-03-06,1457193600,2016,3,6,116,轻度污染,73,182,28,1.6,68,41
827,2016-03-07,1457280000,2016,3,7,70,良,34,89,10,0.9,33,84
828,2016-03-08,1457366400,2016,3,8,39,优,10,25,3,0.4,16,77
829,2016-03-09,1457452800,2016,3,9,37,优,10,26,4,0.4,16,73
830,2016-03-10,1457539200,2016,3,10,49,优,11,49,4,0.4,18,75
831,2016-03-11,1457625600,2016,3,11,51,良,24,52,8,0.6,36,76
